"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","0","","","","0"
"2004/2005","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","0","","","","0"
"2005/2006","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","0","","","","0"
"2006/2007","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","0","","","","0"
"2007/2008","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2008/2009","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2009/2010","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2010/2011","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2011/2012","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2012/2013","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2013/2014","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2014/2015","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2015/2016","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2016/2017","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2017/2018","Nunavut","2016A000262","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009385","14.1.4","","..","","","0"
"2002/2003","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","8901","","","","0"
"2003/2004","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9120","","","","0"
"2004/2005","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9354","","","","0"
"2005/2006","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9129","","","","0"
"2006/2007","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9063","","","","0"
"2007/2008","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9024","","","","0"
"2008/2009","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9279","","","","0"
"2009/2010","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9039","","","","0"
"2010/2011","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","8871","","","","0"
"2011/2012","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","8904","","","","0"
"2012/2013","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9087","","","","0"
"2013/2014","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9729","","","","0"
"2014/2015","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","9891","","","","0"
"2015/2016","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","10026","","","","0"
"2016/2017","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","10041","","","","0"
"2017/2018","Nunavut","2016A000262","Public schools","Total, program type","Number","223","units","0","v1001753274","14.2.1","10107","","","","0"
"2002/2003","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","8901","","","","0"
"2003/2004","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9117","","","","0"
"2004/2005","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9354","","","","0"
"2005/2006","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9129","","","","0"
"2006/2007","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9063","","","","0"
"2007/2008","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9024","","","","0"
"2008/2009","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9276","","","","0"
"2009/2010","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9042","","","","0"
"2010/2011","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","8874","","","","0"
"2011/2012","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","8907","","","","0"
"2012/2013","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9084","","","","0"
"2013/2014","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9729","","","","0"
"2014/2015","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","9888","","","","0"
"2015/2016","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","10029","","","","0"
"2016/2017","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","10038","","","","0"
"2017/2018","Nunavut","2016A000262","Public schools","Regular programs for youth","Number","223","units","0","v1001753275","14.2.2","10107","","","","0"
"2002/2003","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","0","","","","0"
"2003/2004","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","0","","","","0"
"2004/2005","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","0","","","","0"
"2005/2006","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","0","","","","0"
"2006/2007","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","0","","","","0"
"2007/2008","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2008/2009","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2009/2010","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2010/2011","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2011/2012","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2012/2013","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2013/2014","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2014/2015","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2015/2016","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2016/2017","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2017/2018","Nunavut","2016A000262","Public schools","General programs for adults","Number","223","units","0","v1077009386","14.2.3","","..","","","0"
"2002/2003","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","0","","","","0"
"2003/2004","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","0","","","","0"
"2004/2005","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","0","","","","0"
"2005/2006","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","0","","","","0"
"2006/2007","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","0","","","","0"
"2007/2008","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2008/2009","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2009/2010","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2010/2011","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2011/2012","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2012/2013","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2013/2014","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2014/2015","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2015/2016","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2016/2017","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2017/2018","Nunavut","2016A000262","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009387","14.2.4","","..","","","0"
"2006/2007","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","0","","","","0"
"2007/2008","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2008/2009","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2009/2010","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2010/2011","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2011/2012","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2012/2013","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2013/2014","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2014/2015","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2015/2016","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2016/2017","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2017/2018","Nunavut","2016A000262","Private/independent schools","Total, program type","Number","223","units","0","v1077009388","14.3.1","","..","","","0"
"2006/2007","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","0","","","","0"
"2007/2008","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2008/2009","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2009/2010","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2010/2011","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2011/2012","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2012/2013","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2013/2014","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2014/2015","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2015/2016","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2016/2017","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2017/2018","Nunavut","2016A000262","Private/independent schools","Regular programs for youth","Number","223","units","0","v1077009389","14.3.2","","..","","","0"
"2006/2007","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","0","","","","0"
"2007/2008","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2008/2009","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2009/2010","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2010/2011","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2011/2012","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2012/2013","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2013/2014","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2014/2015","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2015/2016","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2016/2017","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2017/2018","Nunavut","2016A000262","Private/independent schools","General programs for adults","Number","223","units","0","v1077009390","14.3.3","","..","","","0"
"2006/2007","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","0","","","","0"
"2007/2008","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2008/2009","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2009/2010","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2010/2011","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2011/2012","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2012/2013","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2013/2014","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2014/2015","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2015/2016","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2016/2017","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2017/2018","Nunavut","2016A000262","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009391","14.3.4","","..","","","0"
"2006/2007","Nunavut","2016A000262","Home-schooling","Total, program type","Number","223","units","0","v1077009392","14.4.1","0","","","","0"
